Faixa,,,,,,,,
Peso,"0 a 18,99","19 a 48,99","49 a 78,99","79 a 99,99","100 a 119,99","120 a 149,99","150 a 199,99",200+
"Até 0,3 kg","6,46","7,49","8,86","14,82","17,22","19,74","22,14","25,14"
"0,3 a 0,5 kg","6,8","7,6","8,97","15,9","18,54","21,18","23,82","27,06"
"0,5 a 1 kg","6,91","7,71","9,09","16,62","19,38","22,14","24,9","28,38"
"1 a 1,5 kg","7,03","7,83","9,2","16,98","19,74","22,62","25,38","29,58"
"1,5 a 2 kg","7,14","7,94","9,31","17,34","20,22","23,1","25,98","29,58"
2 a 3 kg,"7,26","9,09","9,77","18,9","22,02","25,26","28,38","31,5"
3 a 4 kg,"7,37","9,31","10,23","20,46","23,82","27,18","30,66","34,02"
4 a 5 kg,"7,49","9,54","11,14","22,14","25,86","29,58","33,3","36,9"
5 a 6 kg,"7,6","9,77","11,37","30,54","34,26","39,18","42,9","47,7"
6 a 7 kg,"7,71",10,"11,6","32,46","37,26","43,26","48,06","52,86"
7 a 8 kg,"7,83","10,23","11,83","34,62","40,38","46,14","51,9","57,66"
8 a 9 kg,"7,94","10,46","12,06","35,58","41,46","47,46","53,34","59,22"
9 a 11 kg,"8,06","10,91","12,51","49,5","57,66","65,94","74,1","82,38"
11 a 13 kg,"8,17","11,37","12,97","50,58","59,1","67,5","75,9","84,3"
13 a 15 kg,"8,29","11,6","13,2","54,06","62,94","71,94","80,94","89,94"
15 a 17 kg,"8,4","11,83","13,43","58,26","67,26","76,26","84,9","94,38"
17 a 20 kg,"8,51","12,06","13,66","65,7","76,62","87,54","98,46","109,38"
20 a 25 kg,"8,74","12,51","13,89","76,86","90,06","101,7","114,42","127,14"
25 a 30 kg,"8,86","12,74","14,11","79,14","90,54","102,66","115,5","128,34"
30 a 40 kg,"8,97","12,97","14,34","81,3","94,74","106,74","118,98","128,46"
40 a 50 kg,"9,09","13,2","14,57","84,3","97,26","110,46","123,06","132,9"
50 a 60 kg,"9,2","13,43","14,8","89,94","103,74","117,78","131,22","141,78"
60 a 70 kg,"9,31","13,66","15,03","96,3","111,54","126,06","140,58","151,86"
70 a 80 kg,"9,43","13,89","15,26","100,74","116,46","131,82","146,94","158,7"
80 a 90 kg,"9,54","14,11","15,49","111,9","128,94","146,46","163,26","176,34"
90 a 100 kg,"9,66","14,34","15,71","127,86","148,74","167,46","186,66","201,54"
100 a 125 kg,"9,77","14,57","15,94","143,1","165,66","187,26","208,74","225,54"
125 a 150 kg,"9,89","14,57","16,17","151,86","175,38","198,78","221,58","239,34"
150 kg,10,"14,57","16,4","199,38","230,94","261,06","291,06","314,34"